country,year,female_lfp,fertility,gdppc
Australia,1992,52,1.888,34939.0596145601
Austria,1992,44.9000015258789,1.51,34942.2927533114
Azerbaijan,1992,55.2000007629395,2.74,2324.4529766324
"Bahamas, The",1992,66.5999984741211,2.621,20635.0833744833
Bahrain,1992,29.7000007629395,3.466,20191.5508161928
Bangladesh,1992,60.9000015258789,4.146,417.059772877482
Barbados,1992,61.0999984741211,1.729,12405.2058118085
Belarus,1992,58.5,1.75,2668.28891437968
Belgium,1992,38.7000007629395,1.65,34023.7076482866
Belize,1992,35.7999992370605,4.363,3404.36264179182
Benin,1992,57.5,6.603,605.280836111262
Bhutan,1992,48.0999984741211,5.216,836.47668051327
Bolivia,1992,52.2999992370605,4.741,1397.17215750115
Bosnia and Herzegovina,1992,35.5999984741211,1.692,NA
Botswana,1992,67.4000015258789,4.394,4027.64517863686
Brazil,1992,53.0999984741211,2.643,7735.46461528978
Brunei Darussalam,1992,47.5,3.329,38112.9376312263
Bulgaria,1992,54.2000007629395,1.55,3607.7939153346
Burkina Faso,1992,76.6999969482422,6.95,354.009818461742
Burundi,1992,89.8000030517578,7.465,320.688205315948
Cabo Verde,1992,42.7000007629395,5.018,1010.45046938504
Cambodia,1992,76.8000030517578,5.237,NA
Cameroon,1992,57.2999992370605,6.264,1084.37774411441
Canada,1992,57.2999992370605,1.71,35107.2507060388
Central African Republic,1992,70.0999984741211,5.691,415.069868084757
Chad,1992,63.2999992370605,7.376,568.63716837544
Chile,1992,34,2.407,7169.21875308795
China,1992,72.5,2.111,888.91098484031
Colombia,1992,31.3999996185303,2.86,4472.68614983658
Comoros,1992,27.8999996185303,6.171,836.324546801113
"Congo, Dem. Rep.",1992,68.6999969482422,7.099,501.835016013917
"Congo, Rep.",1992,60.7000007629395,5.235,2766.26257054983
Costa Rica,1992,33,3.044,5228.50053531564
Cote d'Ivoire,1992,44.5999984741211,6.454,1358.78401066616
Croatia,1992,46.4000015258789,1.48,NA
Cuba,1992,35.7999992370605,1.682,3289.34068497596
Cyprus,1992,41.5999984741211,2.337,22124.5271032557
Czech Republic,1992,52.2999992370605,1.71,12282.574440387
Denmark,1992,62.0999984741211,1.76,45788.0214358111
Djibouti,1992,28.2000007629395,5.879,1406.60416762549
Dominican Republic,1992,44.2999992370605,3.329,2769.58319981129
Ecuador,1992,41.2999992370605,3.594,3782.18750466222
"Egypt, Arab Rep.",1992,22,4.247,1604.86864640642
El Salvador,1992,40.7999992370605,3.734,2340.43306609722
Equatorial Guinea,1992,80.5,5.902,715.531414226369
Eritrea,1992,75.4000015258789,6.233,373.165573969592
Estonia,1992,59.5999984741211,1.71,NA
Ethiopia,1992,72.9000015258789,7.143,163.765942299686
Fiji,1992,32.2999992370605,3.352,2956.48747659587
Finland,1992,56.2000007629395,1.85,30150.2300168359
France,1992,46.5999984741211,1.74,33271.1282909752
Gabon,1992,56,5.263,10835.9373460004
"Gambia, The",1992,69.5999984741211,6.083,514.376138129919
Georgia,1992,57.9000015258789,2.076,1511.79787262704
Germany,1992,47.7000007629395,1.29,34132.8845164007
Ghana,1992,70.0999984741211,5.391,851.626344891257
Greece,1992,35.2000007629395,1.39,19734.4653146348
Guatemala,1992,40.7000007629395,5.174,2246.60449160567
Guinea,1992,64.1999969482422,6.535,391.466752431526
Guinea-Bissau,1992,59.9000015258789,6.526,596.917597175641
Guyana,1992,37.7000007629395,3.467,1741.74824347761
Haiti,1992,57,5.21,NA
Honduras,1992,35,4.956,1599.52943660226
"Hong Kong SAR, China",1992,46.9000015258789,1.347,20155.3247575617
Hungary,1992,46.5999984741211,1.77,8547.06328730501
Iceland,1992,69.0999984741211,2.21,28906.3657987273
India,1992,35.2999992370605,3.877,554.638011666469
Indonesia,1992,48.4000015258789,2.931,1865.47610337946
"Iran, Islamic Rep.",1992,10,4.139,4116.39982513101
Iraq,1992,11.1999998092651,5.702,1839.40891766882
Ireland,1992,36.2999992370605,1.99,24457.4807183457
Israel,1992,42.7000007629395,2.7,21181.419514756
Italy,1992,33.9000015258789,1.3,31533.5679192456
Jamaica,1992,67.4000015258789,2.86,4562.9313010648
Japan,1992,50.7999992370605,1.502,39267.1090593916
Jordan,1992,10.1999998092651,5.169,2803.77604594576
Kazakhstan,1992,62.4000015258789,2.5,4936.99125133786
Kenya,1992,68.8000030517578,5.668,875.043338632539
"Korea, Rep.",1992,47,1.76,10001.0592722086
Kuwait,1992,36.5999984741211,2.456,NA
Kyrgyz Republic,1992,58.2000007629395,3.52,845.709606636806
Lao PDR,1992,80.0999984741211,5.928,481.666021015567
Latvia,1992,59,1.73,NA
Lebanon,1992,17.2999992370605,2.841,5852.91529318014
Lesotho,1992,67.0999984741211,4.759,749.129283662492
Liberia,1992,56.5999984741211,6.336,235.754325723945
Libya,1992,19.2999992370605,4.381,NA
Lithuania,1992,57.9000015258789,1.97,NA
Luxembourg,1992,38.0999984741211,1.64,67266.6231835784
"Macao SAR, China",1992,46.4000015258789,1.487,20524.4380710448
"Macedonia, FYR",1992,42.9000015258789,2.131,3411.50462987419
Madagascar,1992,83.8000030517578,6.179,441.480781280043
Malawi,1992,76,6.778,324.548725070745
Malaysia,1992,42.9000015258789,3.454,5080.53186353956
Maldives,1992,23.2000007629395,5.336,NA
Mali,1992,36.5,7.146,495.535465830613
Malta,1992,28,2.11,13115.7220085596
Mauritania,1992,19.2000007629395,5.88,1000.22532669362
Mauritius,1992,37.5,2.37,4026.8923041946
Mexico,1992,35,3.291,7508.79246560847
Moldova,1992,60.2999992370605,2.199,NA
Mongolia,1992,53.9000015258789,3.451,1420.64108460349
Montenegro,1992,44.7999992370605,2.046,NA
Morocco,1992,26.7000007629395,3.755,1736.97013499737
Mozambique,1992,86,6.138,160.321253967544
Myanmar,1992,72.5,3.241,202.400080332298
Namibia,1992,48.7000007629395,4.97,3802.71274574481
Nepal,1992,79.8000030517578,5.015,375.220452732643
Netherlands,1992,45.0999984741211,1.59,36404.640263229
New Zealand,1992,53.4000015258789,2.12,23974.1459991725
Nicaragua,1992,34.2999992370605,4.27,1096.10635474916
Niger,1992,26.8999996185303,7.737,347.870548153243
Nigeria,1992,40.0999984741211,6.395,1299.28196492868
Norway,1992,54.7000007629395,1.88,63691.7647759796
Oman,1992,17.8999996185303,6.472,15686.3792692902
Pakistan,1992,13.8000001907349,5.76,795.536977737448
Panama,1992,39.7000007629395,2.952,4570.24923579557
Papua New Guinea,1992,70,4.723,1248.8641597223
Paraguay,1992,54.5999984741211,4.368,2672.44851600069
Peru,1992,45.4000015258789,3.617,2614.86097878157
Philippines,1992,48.2999992370605,4.177,1448.86668275738
Poland,1992,53.5999984741211,1.95,5631.92385263766
Portugal,1992,48.7000007629395,1.54,17661.3468552979
Puerto Rico,1992,31.5,2.18,20079.2350285605
Qatar,1992,42.2000007629395,3.796,NA
Romania,1992,52.4000015258789,1.51,4323.06446285645
Russian Federation,1992,57.0999984741211,1.552,7717.09454344013
Rwanda,1992,88,6.753,395.50227619865
Samoa,1992,39.4000015258789,4.956,2286.22852748896
Sao Tome and Principe,1992,37.0999984741211,5.71,NA
Saudi Arabia,1992,14.5,5.604,16080.8746045091
Senegal,1992,62.7000007629395,6.404,829.182398567968
Serbia,1992,44.5,NA,NA
Sierra Leone,1992,64.1999969482422,6.64,378.657914425983
Singapore,1992,50.0999984741211,1.76,23898.8977032521
Slovak Republic,1992,57.5,1.93,7676.04480925248
Slovenia,1992,47.4000015258789,1.33,NA
Solomon Islands,1992,52.5999984741211,5.596,1444.34093581117
South Africa,1992,41.5,3.408,5888.51405470087
Spain,1992,34.7999992370605,1.32,23132.87578245
Sri Lanka,1992,36.4000015258789,2.39,1284.44556787027
St. Lucia,1992,58,3.195,5636.92947612491
St. Vincent and the Grenadines,1992,45.2999992370605,2.86,3753.02528935735
Sudan,1992,26.2999992370605,6.028,828.373712494405
Suriname,1992,37.5999984741211,3.181,6080.05539810479
Swaziland,1992,42.0999984741211,5.392,2751.57005750072
Sweden,1992,60.5,2.09,36191.7721647681
Switzerland,1992,57.4000015258789,1.58,61798.0301367635
